epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6118,1.41891,2.63217,1.32909,0.26186,0.28981,0.15871,0.10261,1.54972,inf,1.47588,0.0701515,0.0033165,0.0033165
2,88.9536,1.29592,1.83654,1.28107,0.45351,0.37462,0.36369,0.23035,1.4434,3.83247,1.4051,0.0400692,0.00656754,0.00656754
3,132.25,1.21901,1.64187,1.23902,0.54791,0.60535,0.60584,0.42026,1.23334,1.7709,1.22566,0.00990443,0.00973608,0.00973608
4,175.708,1.14666,1.45899,1.19443,0.5936,0.69068,0.6289,0.45865,1.08665,5.27289,1.15028,0.00962875,0.00962875,0.00962875
5,218.318,1.08748,1.32174,1.15381,0.73317,0.73171,0.75353,0.55462,1.04235,1.25406,1.11988,0.009505,0.009505,0.009505
6,260.965,1.0433,1.21679,1.1357,0.67157,0.78098,0.74743,0.56332,0.97602,1.14589,1.08101,0.00938125,0.00938125,0.00938125
7,304.113,1.01482,1.16082,1.12301,0.7804,0.76286,0.79976,0.59636,1.02439,1.00338,1.09837,0.0092575,0.0092575,0.0092575
8,348.25,0.98491,1.09862,1.10894,0.81259,0.82042,0.82117,0.62226,0.96739,0.9632,1.07188,0.00913375,0.00913375,0.00913375
9,391.702,0.96477,1.07935,1.09714,0.77878,0.75561,0.78439,0.59981,0.94342,0.98049,1.06443,0.00901,0.00901,0.00901
10,433.78,0.96292,1.05274,1.09471,0.80252,0.84269,0.83622,0.63527,0.94664,0.89697,1.05005,0.00888625,0.00888625,0.00888625
11,476.487,0.94154,1.04844,1.09043,0.80953,0.8554,0.83035,0.63771,0.92533,0.86185,1.03796,0.0087625,0.0087625,0.0087625
12,518.667,0.91395,0.98923,1.06851,0.81911,0.83711,0.83465,0.63807,0.93932,0.85479,1.04752,0.00863875,0.00863875,0.00863875
13,561.535,0.91831,0.97256,1.06819,0.8118,0.84698,0.83326,0.64046,0.94103,0.85436,1.05822,0.008515,0.008515,0.008515
14,605.608,0.90526,0.95359,1.06325,0.84628,0.85344,0.85543,0.66817,0.88345,0.78175,1.03011,0.00839125,0.00839125,0.00839125
15,648.476,0.89455,0.9289,1.05969,0.82819,0.85385,0.85089,0.6628,0.88495,0.77517,1.02496,0.0082675,0.0082675,0.0082675
16,691.486,0.88585,0.91302,1.05516,0.85428,0.86259,0.85275,0.66677,0.88939,0.75546,1.02325,0.00814375,0.00814375,0.00814375
17,734.183,0.86979,0.87777,1.04386,0.843,0.82577,0.8393,0.65016,0.91079,0.86153,1.03425,0.00802,0.00802,0.00802
18,777.059,0.86937,0.89792,1.05182,0.85972,0.8649,0.85517,0.68546,0.83286,0.83369,1.00632,0.00789625,0.00789625,0.00789625
19,820.287,0.86046,0.86785,1.04439,0.85374,0.8692,0.85018,0.67141,0.88354,0.754,1.03385,0.0077725,0.0077725,0.0077725
20,864.462,0.85156,0.85417,1.0356,0.85503,0.8754,0.86206,0.68901,0.82791,0.73472,0.99841,0.00764875,0.00764875,0.00764875
21,906.977,0.83802,0.82597,1.02997,0.86879,0.86797,0.86375,0.68448,0.84578,0.70938,0.99996,0.007525,0.007525,0.007525
22,950.171,0.83647,0.82413,1.03684,0.85923,0.85414,0.86022,0.67998,0.87398,0.74585,1.01048,0.00740125,0.00740125,0.00740125
23,992.764,0.83542,0.81826,1.02915,0.87544,0.88,0.86545,0.70296,0.82069,0.7016,1.00469,0.0072775,0.0072775,0.0072775
24,1036.31,0.82323,0.80366,1.02142,0.87063,0.84761,0.86796,0.69777,0.81686,0.71567,0.99644,0.00715375,0.00715375,0.00715375
25,1079.96,0.82339,0.80561,1.02818,0.87723,0.88535,0.87308,0.70711,0.81756,0.67335,1.00072,0.00703,0.00703,0.00703
26,1124.19,0.81149,0.79129,1.02183,0.86128,0.87289,0.87203,0.71034,0.78535,0.70129,0.98225,0.00690625,0.00690625,0.00690625
27,1167.17,0.80733,0.77057,1.01327,0.87685,0.88543,0.86828,0.70931,0.79709,0.67187,0.98954,0.0067825,0.0067825,0.0067825
28,1209.82,0.79662,0.76065,1.0107,0.88097,0.87125,0.86847,0.70491,0.79953,0.68334,0.9903,0.00665875,0.00665875,0.00665875
29,1252.7,0.78513,0.73674,1.00435,0.86594,0.88798,0.87131,0.70263,0.83162,0.69099,0.99128,0.006535,0.006535,0.006535
30,1295.3,0.79263,0.75224,1.00604,0.86922,0.88092,0.85596,0.68626,0.80533,0.68085,0.98647,0.00641125,0.00641125,0.00641125
31,1338.06,0.79491,0.77248,1.01964,0.8641,0.87047,0.86243,0.69572,0.81693,0.7433,0.99974,0.0062875,0.0062875,0.0062875
32,1381.74,0.77479,0.73757,1.00826,0.87259,0.88625,0.87035,0.70469,0.80937,0.67274,0.99628,0.00616375,0.00616375,0.00616375
33,1424.92,0.77494,0.72838,1.00388,0.86769,0.87591,0.86421,0.68879,0.84568,0.70403,1.00148,0.00604,0.00604,0.00604
34,1467.82,0.77385,0.7279,1.00522,0.87224,0.88672,0.86929,0.71004,0.79282,0.67779,0.98279,0.00591625,0.00591625,0.00591625
35,1509.81,0.77683,0.71679,1.0017,0.88858,0.87523,0.86991,0.70685,0.80309,0.65106,0.98988,0.0057925,0.0057925,0.0057925
36,1552.23,0.76626,0.70653,0.99401,0.87866,0.88221,0.87049,0.69931,0.80032,0.66429,0.9789,0.00566875,0.00566875,0.00566875
